David ,Einhorn
Charlie ,Scharf
Rupert,Murdoch
John,Donahoe
Gary,Loveman
Larry,Page
Fred,Smith
Nigel,Travis
Joe,Magnacca
Bob,Tinker
Michael,Heyward
Gary,Friedman
Steve,Ballmer
Dave ,Goldberg
Omar,Ishrak
Ian,Read
John,Wren
Mark,Karpeles
Daniel,Larimer
David,Novak
Lyndon,Rive
James,Debney
Marc ,Benioff
Charlie,Shrem
Andy,Russell
Frederic,Oudea
Paul,Galant
Larry,Fink
Jamie,Dimon
Mark,Parker
Christine,Day
Richard,Handler
Jeff,Berwick
Limin,Li
Bill,Ackman
Alan,Mulally
Jeff,Immelt
Frank,Bisignano
Cam,Fine
Mohamed,El-Erian
Andrew,Mackenzie
Eric,Lefkofsky
Ted,Leonsis
Andrew,Mason
Elon,Musk
John,Chambers
Rick,Lentini
Doug,Oberhelman
Jeff,Bezos
Sam,Palmisano
Daniel,Doctoroff
Jeff,Skilling
Bill,Smead
Tim,Cook
Lex,Fenwick
Marissa,Mayer
Eric,Hunsader
Henry,Kravis
David,Miller
Larry,Page
Kazuo,Hirai
Michael,Corbat
Sergio,Ermotti
Christian,Laub
David,Drumm
Lance,Roberts
Murray,Kessler
Gary,Guthart
Klaus,Kleinfeld
John,Thain
Dan,Gilbert
Anand,Nallathambi
David,Sadigh
Roger,Ferguson
Barry,Norris
Ron,Johnson
Mike,Jackson
Steve,Ells
Monty,Moran
Alan,Silbert
James,Gorman
Frederick,Smith
Mark,Zuckerberg
Kevin,Systrom
David,Goldberg
Steve,Ketchum
Yasuchika,Hasegawa
Jim,McNerney
Steve,Wynn
Angela,Ahrendts
Michael,Dell
Dave,DeWalt
David,Noble
Kosta,Kartsotis
Scott,Davis
Howard,Shultz
Brian,Sozzi
Roberto,Setubal
Prem,Watsa
Jason,Cheng
Frank,Holmes
Terry,Lundgren
Michael,Jeffries
Wendy,Liebmann
Jim,Chanos
Steve,Schwarzman
Stuart,Miller
Larry,Ellison
Steve,Ballmer
Thorsten,Heins
Robert,Benmosche
John,Stumpf
John,Challenger
Brian,Krzanich
Tony,Fadell
Bill,Simon
Scott,Kapnick
Lewis,Frankfort
Carson,Block
Travis,Kalanick
John,Rourke
Avishai,Abrahami
Matt,Maloney
Jonathan,Zabusky
Sheldon,Adelson
Ron,Johnson
Nick,Woodman
Fred,Smith
Eric,Major
Mike,Duke
Chaly,Mah
Mark Zuckerberg,
Phupinder Gill,
Elon Musk,
Warren Buffett,
Glen F. Post,
James P. Gorman,
Larry Page,
Anthony Jenkins,
Stephen A. Schwarzman,
Lloyd Blankfein,
Bob Iger,
Michael Bloomberg,
Steve Ballmer,
Douglas M. Hodge,
Stuart Gulliver,
Walter W. Bettinger,
Dick Costolo,
John Thain,
Meredith Whitney,
Donald Thompson,
Alan G. Lafley ,
Howard Schultz,
David Einhorn,
Daniel S. Loeb,
Noam Bardin,
Jean-Laurent Bonnafe,
Tim Cook,
Mary T. Barra,
Mark Fields,
Rupert Stadler,
Akio Toyoda,
Cole Wilcox,
Jeff Bezos,
Ron Johnson,
Sergio Ermotti,
Wesley G. Bush,
Michael S. Dell,
Norbert Reithofer,
Steve Cannon,
Donald H. Layton,
Timothy J. Mayopoulos,
Eric Lefkofsky,
John T. Chambers,
Ben van Beurden,
Eldar Saetre,
Juergen Fitschen,
Rex W. Tillerson,
Michael Corbat,
Brian P. McAndrews,
Marissa Mayer,
Mike Jeffries,
C. Douglas Mcmillon,
Bradley Dougan,
Walter E Robb,
Steven Mollenkopf,
Jeff Weiner,
Reed Hastings,
Michael Johnson,
Muhtar Kent,
John B. Veihmeyer,
Kerry Trainor,
Meg Whitman,
Susan Wojcicki,
Steve Burke,
Tim Zagat,
Ginni Rometty,
Frederic Oudea,
Brendan Eich,
C. Larry Pope,
John S. Chen,
David King,
Dietrich Mateschitz,
Roger Ailes,
Carlos Ghosn,
Larry Ellison,
Arne Sorenson,
Philip Palaveev,
Richard Hayne,
Sergio Marchionne,
Kazuhiro Tsuga,
Christopher J. Kearns,
Jack Calhoun,
Paul T. Idzik,
Robert D. Lawler,
Indra Nooyi,
Spencer Rascoff,
Leslie Moonves,
Christine Day,
Peter D. Hancock,
Joseph Nacchio,
Rupert Murdoch,
Kazuo Hirai,
Fred Smith,
Sheldon Adelson,
Mickey Arison,
Nicholas Kisberg,
George Zimmer,
Lucas Duplan,
Don,Mattrick
Ian,Snow
Alan,Silbert
Lloyd,Blankfein
Paul,Bernstein
Jim,Chanos
Ray,Stubblebine
William,Ruprecht
Angela,Ahrendts
Ross,Norman
Dan,Loeb
Jessica,Rinaldi
Jeff,Gundlach
Larry,Fink
Ray,Dalio
Jeremy,Allaire
Patrick,Morris
Daniel,Vasella
Wong,Chin
Suleyman,Aslan
Shawn,Hardin
Sheldon,Adelson
Adam,Zoia
Larry,Robbins
Bobby,Lee
John,Challenger
Torsten,MŸller
Carlos,Brito
Mohamed,El
Mike,Nudelman
Bill,Stiritz
Charlie,Shrem
Don,Wood
Noel,Biderman
Scott,Cook
Brad,Katsuyama
Fred,Ehrsam
Jeffrey,Gundlach
Paul,Ross
Akio,Watanabe
Duncan,Niederauer
Averell,Mortimer
Paul,Rosen
Jeff,Mezger
Yihong,Chen
Rupert,Murdoch
Alaa,Karam
Mario,Gabelli
Jonathan,Ernst
Kathy,Bloomgarden
Jacques,Brand
Robert,Greifeld
Steven,Holliday
Mitchell,Modell
Gilt,Alexander
Eric,Smith
Charles,Weinstein
Robert,Wolf
Strauss,Zelnick
Brian,Sozzi
Lee,Munson
Daniel,Birnbaum
Sergio,Marchionne
David,Reis
Gregg,Tanner
Rich,Kinder
Shirl,Penney
Angelo,Mozillo
Brian,Snyder
Bill,Ackman
Alexei,Miller
John,Foraker
Adrian,Adams
Joseph,Tsai
Peter,Barrett
Michael,Diekmann
Mark,Tibergien
Ophir,Gottlieb
Chetan,Dube
Ruben,Sprich
Stephen,Lam
Mykolas,Rambus
Tim,Adams
James,Gorman
Brian,Moynihan
Michael,Corbat
Marcus,Lemonis
John,Paulson
Howard,Lutnick
David,Fann
Alexandra,Damsker
Marc,Beer
Jacky,Naegelen
Chris,Viehbacher
Nick,Raich
Mike,Jeffries
Kevin,Counihan
Douglas,Oberhelman
George,Walker
Michael,Weil
Aaron,Levie
Alan,Mulally
Anand,Nallathambi
Anders,Elgemyr
Andrei,Kostin
Anshu,Jain
Aubrety,McClendon
Ben,Nelson
Bill,Gates
Bill,Gross
Bill,Mills
Bill,Simon
Bob,Aiken
Bob,Greifeld
Mary,Erdoes
Chris,Grant
Dan,Hesse
David,Noble
David,Weinreb
Dick,Costolo
Doug,Oberhelman
Douglas,Hodge
Douglas,Yeardley
Eddie,Lampert
Elon,Musk
Eric,Hunsader
Frances,Lun
Francisco,Aristeguieta
Frank,Addante
Frank,Lavin
Frederic,Oudea
Fujio,Mitarai
Gene,McQuade
Ginni,Rometty
Ginny,Rometty
Glenn,Murphy
Harold,Wester
Howard,Schultz
Hunter,Harrison
Igor,Sechin
James,Debney
James,Gorman
Jamie,Dimon
Jamie,Sokalsky
Jeff,Immelt
Jerry,Moyes
Jim,Cowles
Jim,McNerney
JK,Shin
John,Chambers
John,Mack
Joshua,Brown
Justin,Smith
Kasper,Rorsted
Klaus,Kleinfeld
Lanhan,Napier
Larry,Ellison
Larry,Fink
Lloyd,Blankfein
Ma,Yongsheng
Marc,Bolland
Marcelo,Claure
Marisa,Mayer
Mark,Gorton
Mark,Karpeles
Mark,Zuckerberg
Mary,Barra
Masayoshi,Son
Meg,Whitman
Michael,Chasen
Michael,Dell
Mike,Corbat
Mike,Jeffries
Mike,Ullman
Neil,Austrian
Patrick,Byrne
Petter,Havdal
Philippe,Chevalier
Ralf,Speth
Reed,Hastings
Ricardo,Salgado
Robert,Benmosche
Ron,Johnson
Ryo,Koyama
Scott,Heiferman
Sergio,Marchionne
Stephen,Bird
Steve,Cohen
Steve,Schwarzman
Steve,Wynn
Thomas,Campbell
Tim,Cook
Tim,Leuliette
Tony,Posawatz
Vikram,Pandit
Vitor,Bento
Warren,Buffett
Wayne,LaPierre
William,Ackman
William,Conway
Scott Moore,
Hiroshi Tanaka,
Ben Arnold,
Shigeki Ishizuka,
Chris Grant,
Peter Schiff,
Rene Reinsberg,
Barry Silbert,
Meg Whitman,
Patrick Byrne,
Lucas Duplan,
Chris Grant,
John McCarvel,
John Legere,
Tim Cook,
John Browett,
Ahrendts,
Ronald Williams,
George Halvorson,
Jon Kingsdale,
Larry Ellison,
Elon Musk,
Jerry Yang,
Marisa Mayer,
John Chen,
Thorsten Heins,
Mohammed el-Ansary,
Evan Spiegel,
John Legere,
Greg Gopman,
Eric S. Rosengren,
John S. Chen,
Tom Daley,
John Stump,
Patrick Byrne,
John Hourican,
Suleyman Aslan,
Reed Hastings,
Bill Ackman,
Jamie Dimon,
Bill Stiritz,
Jeff Kelter,
Dan Akerson,
Don Basile,
Howard Bain,
Mary Barra,
Tom Long,
John Hall,
Jeff Gundlach,
Vern Sumnicht,
Nick Graham,
Tim Armstrong,
Joel Horowitz,
Remo Ruffini,
Brian Sozzi,
Christine Day,
Richard Anderson,
Roger Dow,
David Murdock,
Michael Lynton,
Troy Stang,
David Maus,
Jeffrey Soffer,
Jan Koum,
Dan Akerson,
Jeff Gundlach,
Matt Kibbe,
Michael Jeffries,
Doug Parker,
Bill Simon,
Jeffrey Katzenberg,
Marissa Mayer,
Toby Dayton,
Paul Varga,
Martin Blessing,
Juergen Fitschen,
Justin Smith,
Ted Marlow,
Jeff Bezos,
Ken Griffin,
Mike Ullman,
Chuck Prince,
Tom Dean,
Michael Jefferies,
Mark Konyn,
Armand Arton,
Jon Sundt,
Lance Roberts,
Ara Hovnanian,
Richard LeFrak,
Mike Duke,
Lloyd Blankfein,
Kris Henriksen,
Emile Haddad,
Daniel Vasella,
Hal Vogel,
Kevin Mandia,
Steve Ballmer ,
Martin Sorrell,
Bill Stiritz,
Jorge,Piedrahita
Jeffrey,Gundlach
Mike,Lynch
Ginny,Rometty
Hank,Greenberg
Maurice,Greenberg
Dennis,Crowley
James,Gorman
Matt,Rose
Jamie,Dimon
Maurice,Hank
Robert,Benmosche
Michael,Johnson
James,Gormans
Brian,Moynihan
Klaus,Kleinfeld
John,Gutfreund
Michael,Dell
Eric,Hunsader
Lloyd,Blankfein
Steve,Schwarzman
Pete,Flint
Peter,Schiff
Kenneth,Lewis
John,Mack
Steve,Cohen
Doug,Oberhelman
Jerry,Moyes
Bill,Gross
Bush,Signs
Mark,Benioff
Marissa,Mayer
Howard,Schultz
Richard,Handler
Richard,Fuld
Jamie,Dimons
Steve,Wynn
Mike,Jeffries
Mark,Zuckerberg
Anshu,Jain
Thorsten,Heins
Vikram,Pandit
Mark,Mobius
Elon,Musk
Rick,Alden
Eric,Schmidt
David,Einhorn
Patti,Hart
Doug,Parker
Larry,Ellison
David,Weinreb
Gerald,Storch
Elon,Musks
Sally,Smith
John,Chambers
Antony,Jenkins
Neil,Austrian
Sergio,Marchionne
Maurice,Taylor
Office,Depot
Michael,Corbat
Patti,Harts
Chuck,Mathewsons
Rosalind,Brewer
Andrei,Kostin
Eddie,Lampert
